"id","created","tax_zone","item_key","tax_code","tax_rate","valid_from","valid_to"
179,"2024-08-25 23:05:37.660605+00","NZ","flux-data-in","GST",0.15,"2024-07-30 12:00:00+00",
180,"2024-08-25 23:05:37.660605+00","NZ","flux-data-out","GST",0.15,"2024-07-30 12:00:00+00",
181,"2024-08-25 23:05:37.660605+00","NZ","oauth-client-creds","GST",0.15,"2024-07-30 12:00:00+00",
