"id","created","tax_zone","item_key","tax_code","tax_rate","valid_from","valid_to"
171,"2021-06-02 15:35:47.761704+12","NZ","datum-props-in","GST",0.15,"2008-01-01 00:00:00+13",
172,"2021-06-02 15:35:47.761704+12","NZ","datum-out","GST",0.15,"2008-01-01 00:00:00+13",
173,"2021-06-02 15:35:47.761704+12","NZ","datum-days-stored","GST",0.15,"2008-01-01 00:00:00+13",
174,"2022-09-28 14:32:41.837649+13","NZ","ocpp-chargers","GST",0.15,"2022-09-30 00:00:00+13",
175,"2022-09-28 14:32:41.837649+13","NZ","oscp-cap-groups","GST",0.15,"2022-09-30 00:00:00+13",
